,M9STMFLOW,M9CHWTONS,M9TFRARealPower,M9TFRBRealPower,TMP C,TMP F
1/12/2019 18:00,3499.494629,86.79156494,16.99136353,26.51204681,-2.2,28.04
1/12/2019 19:00,3374.91333,86.14597321,15.96311188,26.94418907,-2.2,28.04
1/12/2019 20:00,3339.696533,85.64222717,15.93303967,25.74271011,-2.2,28.04
1/12/2019 21:00,3596.725342,86.25952911,16.1122036,25.68902397,-2.2,28.04
1/12/2019 22:00,3151.775146,89.63533783,15.90482807,25.67472839,-2.8,26.96
1/12/2019 23:00,3329.358643,88.27461243,15.56008911,25.6582737,-3.3,26.06
1/13/2019 0:00,3619.866211,88.99626923,15.54512787,22.21377182,-3.9,24.98
1/13/2019 1:00,3686.98877,89.4744873,15.21607971,22.23671341,-4.4,24.08
1/13/2019 2:00,3808.268311,87.46162415,15.27660561,21.38233757,-5,23
1/13/2019 3:00,4024.276367,89.07885742,19.73032188,20.79021835,-5.6,21.92
1/13/2019 4:00,4083.820068,88.72679901,15.84954739,22.24373055,-6.1,21.02
1/13/2019 5:00,3882.709961,90.19400024,14.85029411,21.01307297,-6.7,19.94
1/13/2019 6:00,4237.151855,89.95761871,15.28953266,20.95507622,-7.2,19.04
1/13/2019 7:00,4166.619629,88.41510773,15.39886284,21.58363342,-7.2,19.04
1/13/2019 8:00,4244.429688,91.9514389,18.34602737,23.87393379,-7.8,17.96
1/13/2019 9:00,4030.535156,86.91602325,16.07415009,24.9500103,-8.3,17.06
1/13/2019 10:00,3861.484131,84.48473358,17.07206917,24.18927956,-8.3,17.06
1/13/2019 11:00,3495.406982,85.6802597,20.2165947,24.54899597,-8.3,17.06
1/13/2019 12:00,3225.240967,80.93180084,21.11803627,26.24486732,-8.9,15.98
1/13/2019 13:00,2844.400146,79.71669006,16.82777596,23.72306061,-8.9,15.98
1/13/2019 14:00,2438.612549,83.17504883,16.00755501,25.71792793,-7.8,17.96
1/13/2019 15:00,2246.318848,81.4165802,17.15286255,24.16039467,-6.7,19.94
1/13/2019 16:00,2901.368408,80.84794617,16.19834709,23.54303551,-5,23
1/13/2019 17:00,2591.646973,83.90378571,21.81985283,25.61997414,-3.3,26.06
1/13/2019 18:00,2781.264893,86.00793457,16.90518379,24.95155907,-1.7,28.94
1/13/2019 19:00,2706.833008,87.179039,17.21441841,27.39904785,-2.2,28.04
1/13/2019 20:00,2860.522217,85.07595825,16.24590302,24.85860634,-2.2,28.04
1/13/2019 21:00,2484.490234,85.60543823,15.62123585,24.57069206,-2.8,26.96
1/13/2019 22:00,2530.10498,83.52126312,16.04063416,24.37436867,-3.3,26.06
1/13/2019 23:00,2738.065918,82.61487579,19.09186745,23.99614525,-3.9,24.98
1/14/2019 0:00,2278.799805,84.35755157,17.37333679,21.9702301,-4.4,24.08
1/14/2019 1:00,3219.521484,86.44432068,16.35485268,22.41713715,-3.9,24.98
1/14/2019 2:00,3219.806152,84.0315094,15.38430977,23.00026321,-3.9,24.98
1/14/2019 3:00,3099.157959,84.83850861,15.2927494,21.42689514,-2.8,26.96
1/14/2019 4:00,3196.973877,80.57862854,15.01582909,22.18636894,-2.8,26.96
1/14/2019 5:00,3203.546387,80.85407257,15.30866623,21.13588715,-3.3,26.06
1/14/2019 6:00,3024.38623,86.6089859,18.70303345,20.38526535,-3.3,26.06
